0	+22	22
0	+35	35
0	+65	65
0	+37	37
0	+9	9
0	-51	9949
0	-19	9981
0	-89	9911
0	-34	9966
0	-69	9931
0	*44	0
0	*64	0
0	*97	0
0	*18	0
0	*28	0
0	/5	0
0	/48	0
0	/35	0
0	/32	0
0	/13	0
1	+22	23
1	+35	36
1	+65	66
1	+37	38
1	+9	10
1	-51	9950
1	-19	9982
1	-89	9912
1	-34	9967
1	-69	9932
1	*44	44
1	*64	64
1	*97	97
1	*18	18
1	*28	28
1	/5	0
1	/48	0
1	/35	0
1	/32	0
1	/13	0
2	+22	24
2	+35	37
2	+65	67
2	+37	39
2	+9	11
2	-51	9951
2	-19	9983
2	-89	9913
2	-34	9968
2	-69	9933
2	*44	88
2	*64	128
2	*97	194
2	*18	36
2	*28	56
2	/5	0
2	/48	0
2	/35	0
2	/32	0
2	/13	0
3	+22	25
3	+35	38
3	+65	68
3	+37	40
3	+9	12
3	-51	9952
3	-19	9984
3	-89	9914
3	-34	9969
3	-69	9934
3	*44	132
3	*64	192
3	*97	291
3	*18	54
3	*28	84
3	/5	0
3	/48	0
3	/35	0
3	/32	0
3	/13	0
4	+22	26
4	+35	39
4	+65	69
4	+37	41
4	+9	13
4	-51	9953
4	-19	9985
4	-89	9915
4	-34	9970
4	-69	9935
4	*44	176
4	*64	256
4	*97	388
4	*18	72
4	*28	112
4	/5	0
4	/48	0
4	/35	0
4	/32	0
4	/13	0
5	+22	27
5	+35	40
5	+65	70
5	+37	42
5	+9	14
5	-51	9954
5	-19	9986
5	-89	9916
5	-34	9971
5	-69	9936
5	*44	220
5	*64	320
5	*97	485
5	*18	90
5	*28	140
5	/5	1
5	/48	0
5	/35	0
5	/32	0
5	/13	0
6	+22	28
6	+35	41
6	+65	71
6	+37	43
6	+9	15
6	-51	9955
6	-19	9987
6	-89	9917
6	-34	9972
6	-69	9937
6	*44	264
6	*64	384
6	*97	582
6	*18	108
6	*28	168
6	/5	1
6	/48	0
6	/35	0
6	/32	0
6	/13	0
7	+22	29
7	+35	42
7	+65	72
7	+37	44
7	+9	16
7	-51	9956
7	-19	9988
7	-89	9918
7	-34	9973
7	-69	9938
7	*44	308
7	*64	448
7	*97	679
7	*18	126
7	*28	196
7	/5	1
7	/48	0
7	/35	0
7	/32	0
7	/13	0
8	+22	30
8	+35	43
8	+65	73
8	+37	45
8	+9	17
8	-51	9957
8	-19	9989
8	-89	9919
8	-34	9974
8	-69	9939
8	*44	352
8	*64	512
8	*97	776
8	*18	144
8	*28	224
8	/5	1
8	/48	0
8	/35	0
8	/32	0
8	/13	0
9	+22	31
9	+35	44
9	+65	74
9	+37	46
9	+9	18
9	-51	9958
9	-19	9990
9	-89	9920
9	-34	9975
9	-69	9940
9	*44	396
9	*64	576
9	*97	873
9	*18	162
9	*28	252
9	/5	1
9	/48	0
9	/35	0
9	/32	0
9	/13	0
10	+22	32
10	+35	45
10	+65	75
10	+37	47
10	+9	19
10	-51	9959
10	-19	9991
10	-89	9921
10	-34	9976
10	-69	9941
10	*44	440
10	*64	640
10	*97	970
10	*18	180
10	*28	280
10	/5	2
10	/48	0
10	/35	0
10	/32	0
10	/13	0
11	+22	33
11	+35	46
11	+65	76
11	+37	48
